pair_id,source,frame_a,cluster_a,frame_b,cluster_b,prior_label
0,same_frame_far,2191,2,2191,4,likely_diff
1,same_frame_far,1845,6,1845,1,likely_diff
2,same_frame_far,432,0,432,22,likely_diff
3,same_frame_far,2560,7,2560,6,likely_diff
4,adjacent,889,14,890,15,likely_same
5,adjacent,1922,7,1923,9,likely_same
6,same_frame_far,2496,25,2496,4,likely_diff
7,adjacent,2351,7,2352,6,likely_same
8,same_frame_far,2773,7,2773,8,likely_diff
9,adjacent,2070,3,2071,4,likely_same
10,adjacent,1490,10,1491,13,likely_same
11,adjacent,1158,14,1159,4,likely_same
12,same_frame_far,1078,9,1078,6,likely_diff
13,same_frame_far,1789,7,1789,21,likely_diff
14,adjacent,669,14,670,13,likely_same
15,same_frame_far,70,15,70,0,likely_diff
16,same_frame_far,853,12,853,7,likely_diff
17,adjacent,2438,5,2439,4,likely_same
18,adjacent,2593,0,2594,0,likely_same
19,same_frame_far,1363,18,1363,8,likely_diff
20,adjacent,369,12,370,12,likely_same
21,adjacent,961,5,962,7,likely_same
22,adjacent,1000,5,1001,2,likely_same
23,same_frame_far,1729,11,1729,0,likely_diff
24,same_frame_far,2390,5,2390,2,likely_diff
25,adjacent,1209,0,1210,1,likely_same
26,adjacent,1116,6,1117,8,likely_same
27,adjacent,2662,2,2663,2,likely_same
28,same_frame_far,147,21,147,3,likely_diff
29,same_frame_far,2396,0,2396,7,likely_diff
30,adjacent,538,2,539,3,likely_same
31,same_frame_far,2795,1,2795,9,likely_diff
32,same_frame_far,1652,8,1652,3,likely_diff
33,adjacent,1858,5,1859,7,likely_same
34,adjacent,2070,4,2071,5,likely_same
35,adjacent,1382,12,1383,12,likely_same
36,same_frame_far,2152,5,2152,3,likely_diff
37,adjacent,2394,6,2395,11,likely_same
38,same_frame_far,1468,10,1468,19,likely_diff
39,same_frame_far,2168,0,2168,3,likely_diff
40,same_frame_far,2837,13,2837,11,likely_diff
41,adjacent,345,8,346,7,likely_same
42,same_frame_far,1428,9,1428,6,likely_diff
43,adjacent,2050,12,2051,15,likely_same
44,adjacent,2491,4,2492,7,likely_same
45,adjacent,433,3,434,8,likely_same
46,same_frame_far,26,1,26,17,likely_diff
47,same_frame_far,562,4,562,17,likely_diff
48,adjacent,1119,12,1120,10,likely_same
49,same_frame_far,2799,15,2799,4,likely_diff
50,same_frame_far,259,2,259,9,likely_diff
51,same_frame_far,663,4,663,25,likely_diff
52,adjacent,2825,3,2826,8,likely_same
53,adjacent,1865,10,1866,14,likely_same
54,adjacent,475,2,476,0,likely_same
55,same_frame_far,865,7,865,17,likely_diff
56,same_frame_far,57,4,57,17,likely_diff
57,adjacent,2270,2,2271,7,likely_same
58,same_frame_far,32,4,32,5,likely_diff
59,adjacent,32,21,33,19,likely_same
60,adjacent,343,13,344,12,likely_same
61,adjacent,102,8,103,10,likely_same
62,adjacent,2651,10,2652,10,likely_same
63,same_frame_far,46,10,46,19,likely_diff
64,same_frame_far,1776,4,1776,11,likely_diff
65,adjacent,590,13,591,10,likely_same
66,adjacent,2254,3,2255,1,likely_same
67,same_frame_far,558,15,558,13,likely_diff
68,same_frame_far,708,9,708,8,likely_diff
69,same_frame_far,970,0,970,2,likely_diff
70,adjacent,2257,2,2258,2,likely_same
71,adjacent,536,20,537,29,likely_same
72,same_frame_far,494,18,494,7,likely_diff
73,adjacent,154,1,155,0,likely_same
74,adjacent,1597,13,1598,4,likely_same
75,same_frame_far,815,1,815,11,likely_diff
76,adjacent,2643,4,2644,8,likely_same
77,same_frame_far,432,24,432,21,likely_diff
78,adjacent,2664,7,2665,14,likely_same
79,adjacent,1686,5,1687,4,likely_same
80,adjacent,2807,8,2808,10,likely_same
81,same_frame_far,353,8,353,3,likely_diff
82,same_frame_far,719,17,719,9,likely_diff
83,same_frame_far,644,6,644,1,likely_diff
84,same_frame_far,636,23,636,19,likely_diff
85,adjacent,734,10,735,13,likely_same
86,adjacent,2787,13,2788,7,likely_same
87,same_frame_far,2134,9,2134,0,likely_diff
88,same_frame_far,1469,4,1469,16,likely_diff
89,same_frame_far,859,19,859,10,likely_diff
90,adjacent,47,3,48,3,likely_same
91,adjacent,2397,13,2398,6,likely_same
92,adjacent,1115,8,1116,5,likely_same
93,same_frame_far,304,12,304,13,likely_diff
94,adjacent,1803,1,1804,3,likely_same
95,adjacent,2799,20,2800,13,likely_same
96,same_frame_far,1356,16,1356,14,likely_diff
97,same_frame_far,830,10,830,1,likely_diff
98,adjacent,898,8,899,14,likely_same
99,same_frame_far,1214,13,1214,12,likely_diff
100,adjacent,566,16,567,12,likely_same
101,same_frame_far,2290,6,2290,16,likely_diff
102,same_frame_far,543,24,543,20,likely_diff
103,same_frame_far,767,12,767,3,likely_diff
104,adjacent,102,19,103,23,likely_same
105,adjacent,2827,8,2828,7,likely_same
106,same_frame_far,367,9,367,7,likely_diff
107,adjacent,674,12,675,6,likely_same
108,adjacent,2262,5,2263,1,likely_same
109,adjacent,420,0,421,3,likely_same
110,adjacent,2580,7,2581,6,likely_same
111,same_frame_far,475,16,475,26,likely_diff
112,adjacent,896,5,897,2,likely_same
113,same_frame_far,2023,1,2023,2,likely_diff
114,adjacent,1196,4,1197,8,likely_same
115,same_frame_far,1248,4,1248,11,likely_diff
116,same_frame_far,920,9,920,6,likely_diff
117,same_frame_far,1185,10,1185,15,likely_diff
118,same_frame_far,280,8,280,4,likely_diff
119,same_frame_far,786,5,786,2,likely_diff
120,adjacent,1353,1,1354,2,likely_same
121,same_frame_far,306,2,306,1,likely_diff
122,same_frame_far,2677,14,2677,5,likely_diff
123,adjacent,2486,5,2487,3,likely_same
124,adjacent,1084,2,1085,2,likely_same
125,same_frame_far,2613,13,2613,6,likely_diff
126,same_frame_far,2552,6,2552,0,likely_diff
127,same_frame_far,610,13,610,1,likely_diff
128,adjacent,2323,0,2324,3,likely_same
129,same_frame_far,351,1,351,7,likely_diff
130,adjacent,386,3,387,2,likely_same
131,adjacent,2808,11,2809,13,likely_same
132,same_frame_far,2531,5,2531,0,likely_diff
133,adjacent,25,5,26,5,likely_same
134,adjacent,1288,4,1289,1,likely_same
135,adjacent,851,20,852,19,likely_same
136,adjacent,2424,9,2425,10,likely_same
137,same_frame_far,2629,2,2629,17,likely_diff
138,same_frame_far,146,11,146,16,likely_diff
139,adjacent,2494,8,2495,7,likely_same
140,same_frame_far,756,1,756,7,likely_diff
141,adjacent,1295,1,1296,1,likely_same
142,same_frame_far,2775,13,2775,7,likely_diff
143,adjacent,2230,5,2231,2,likely_same
144,adjacent,1124,0,1125,0,likely_same
145,adjacent,403,3,404,0,likely_same
146,same_frame_far,2744,16,2744,18,likely_diff
147,same_frame_far,378,2,378,13,likely_diff
148,same_frame_far,900,14,900,4,likely_diff
149,adjacent,1779,5,1780,4,likely_same
150,same_frame_far,1527,8,1527,13,likely_diff
151,adjacent,2804,10,2805,5,likely_same
152,same_frame_far,137,12,137,5,likely_diff
153,adjacent,737,5,738,2,likely_same
154,adjacent,865,4,866,2,likely_same
155,adjacent,1785,7,1786,7,likely_same
156,adjacent,2684,15,2685,13,likely_same
157,adjacent,1879,2,1880,10,likely_same
158,same_frame_far,821,13,821,21,likely_diff
159,adjacent,1202,6,1203,18,likely_same
160,same_frame_far,280,13,280,10,likely_diff
161,adjacent,1043,0,1044,0,likely_same
162,same_frame_far,92,9,92,2,likely_diff
163,adjacent,1213,3,1214,3,likely_same
164,same_frame_far,1768,8,1768,1,likely_diff
165,same_frame_far,1063,7,1063,0,likely_diff
166,same_frame_far,863,19,863,25,likely_diff
167,same_frame_far,1887,6,1887,9,likely_diff
168,adjacent,29,1,30,1,likely_same
169,same_frame_far,763,5,763,25,likely_diff
170,adjacent,26,5,27,3,likely_same
171,same_frame_far,146,7,146,10,likely_diff
172,adjacent,2140,3,2141,9,likely_same
173,adjacent,279,15,280,13,likely_same
174,adjacent,481,20,482,20,likely_same
175,adjacent,2732,9,2733,11,likely_same
176,adjacent,1356,0,1357,3,likely_same
177,adjacent,267,12,268,11,likely_same
178,same_frame_far,382,15,382,8,likely_diff
179,adjacent,1686,5,1687,4,likely_same
180,adjacent,31,15,32,17,likely_same
181,same_frame_far,1102,4,1102,0,likely_diff
182,adjacent,292,5,293,2,likely_same
183,adjacent,2699,11,2700,0,likely_same
184,same_frame_far,2687,21,2687,12,likely_diff
185,same_frame_far,1838,0,1838,10,likely_diff
186,same_frame_far,1853,1,1853,3,likely_diff
187,adjacent,2635,0,2636,0,likely_same
188,adjacent,2354,4,2355,1,likely_same
189,same_frame_far,154,2,154,3,likely_diff
190,adjacent,1,9,2,8,likely_same
191,adjacent,2385,17,2386,11,likely_same
192,same_frame_far,974,1,974,4,likely_diff
193,same_frame_far,1059,1,1059,10,likely_diff
194,adjacent,1123,0,1124,0,likely_same
195,same_frame_far,2303,4,2303,0,likely_diff
196,adjacent,2652,10,2653,2,likely_same
197,same_frame_far,1085,3,1085,0,likely_diff
198,same_frame_far,705,5,705,13,likely_diff
199,same_frame_far,217,11,217,17,likely_diff
200,same_frame_far,2300,5,2300,12,likely_diff
201,adjacent,2154,3,2155,4,likely_same
202,adjacent,1167,5,1168,0,likely_same
203,adjacent,2815,8,2816,9,likely_same
204,adjacent,673,8,674,12,likely_same
205,same_frame_far,359,9,359,6,likely_diff
206,same_frame_far,1127,12,1127,1,likely_diff
207,same_frame_far,2221,9,2221,5,likely_diff
208,adjacent,815,12,816,14,likely_same
209,adjacent,348,3,349,2,likely_same
210,adjacent,2628,1,2629,0,likely_same
211,same_frame_far,1941,14,1941,1,likely_diff
212,adjacent,1245,6,1246,16,likely_same
213,adjacent,1918,1,1919,5,likely_same
214,adjacent,177,23,178,16,likely_same
215,same_frame_far,1271,0,1271,8,likely_diff
216,adjacent,4,21,5,21,likely_same
217,same_frame_far,1093,3,1093,8,likely_diff
218,same_frame_far,1117,4,1117,9,likely_diff
219,adjacent,2824,11,2825,6,likely_same
220,adjacent,403,1,404,3,likely_same
221,same_frame_far,501,5,501,15,likely_diff
222,same_frame_far,150,12,150,8,likely_diff
223,same_frame_far,933,0,933,4,likely_diff
224,same_frame_far,1439,8,1439,0,likely_diff
225,same_frame_far,411,1,411,14,likely_diff
